,product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,color_name,fit,size_number,size_model,cotton,polyester,elastane,elasterell
91,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,white,slim_fit,187,31/32,0.89,0.1,0.01,0.0
92,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,pale_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
93,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,dark_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
94,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,dark_gray_denim,slim_fit,187,31/32,0.89,0.1,0.01,0.0
95,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
96,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
97,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,black,slim_fit,187,31/32,0.89,0.1,0.01,0.0
98,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,light_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
99,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,midnight_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
100,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,dark_gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
101,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,white,slim_fit,187,31/32,0.89,0.1,0.01,0.0
102,636207001,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,1,pale_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
103,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,light_denim_blue,slim_fit,,,0.9,0.0,0.02,0.08
104,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,dark_gray,slim_fit,,,0.9,0.0,0.02,0.08
105,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,pale_denim_blue,slim_fit,,,0.9,0.0,0.02,0.08
106,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,light_gray,slim_fit,,,0.9,0.0,0.02,0.08
107,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,black/no_fade_black,slim_fit,,,0.9,0.0,0.02,0.08
108,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,dark_blue,slim_fit,,,0.9,0.0,0.02,0.08
109,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,white,slim_fit,,,0.9,0.0,0.02,0.08
110,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,gray,slim_fit,,,0.9,0.0,0.02,0.08
111,814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-06-01 08:57:37,814631,6,dark_denim_blue,slim_fit,,,0.9,0.0,0.02,0.08
112,814620003,men_jeans_skinny,freefit®_skinny_jeans,49.99,2021-06-01 08:57:37,814620,3,black_denim,skinny_fit,,,0.9,0.0,0.02,0.08
113,814620003,men_jeans_skinny,freefit®_skinny_jeans,49.99,2021-06-01 08:57:37,814620,3,dark_blue,skinny_fit,186,31/30,0.9,0.0,0.02,0.08
114,814620003,men_jeans_skinny,freefit®_skinny_jeans,49.99,2021-06-01 08:57:37,814620,3,light_denim_blue,skinny_fit,186,31/30,0.9,0.0,0.02,0.08
115,814620003,men_jeans_skinny,freefit®_skinny_jeans,49.99,2021-06-01 08:57:37,814620,3,blue-gray,skinny_fit,186,31/30,0.9,0.0,0.02,0.08
116,814620003,men_jeans_skinny,freefit®_skinny_jeans,49.99,2021-06-01 08:57:37,814620,3,denim_blue,skinny_fit,186,31/30,0.9,0.0,0.02,0.08
117,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,dark_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
118,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,dark_gray_denim,slim_fit,187,31/32,0.89,0.1,0.01,0.0
119,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
120,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
121,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,black,slim_fit,187,31/32,0.89,0.1,0.01,0.0
122,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,light_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
123,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,midnight_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
124,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,dark_gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
125,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,white,slim_fit,187,31/32,0.89,0.1,0.01,0.0
126,636207011,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,11,pale_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
127,868115006,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-06-01 08:57:37,868115,6,denim_blue,skinny_fit,,,0.73,0.26,0.01,0.0
