,product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,color_name,Fit,Composition,Size,Product safety
97,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
98,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Black,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
99,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Black,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
100,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Light denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
101,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Light denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
102,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
103,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
104,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
105,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
106,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,White,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
107,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,White,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
